"No.","Time","Source","Destination","Protocol","Length","Info"
"5485","488.081421675","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5490","498.116428094","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5495","508.152505894","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5496","517.984103899","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5538","528.019526740","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5541","538.055510812","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5544","548.092111007","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5547","558.127558422","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5564","568.163481952","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5573","578.200136923","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5581","588.235605134","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5588","598.074232290","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5600","608.090957056","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5621","618.138783158","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5681","648.246977979","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5707","678.150389987","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5748","708.258512684","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5755","720.137985222","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5756","730.174019324","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5761","740.210001389","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5772","750.450719478","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5775","760.273213711","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5782","770.301046693","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5793","780.329378833","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5798","790.358001968","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5799","800.183361872","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5814","810.212407125","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5829","820.183552289","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
